Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,analysis_set
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),2/114,0.0271870939368293,0.075752073704328,0,0,8.240448504983389,29.706923210882845,IL6;TLR7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Acute-Phase Response (GO:0006953),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,CD40,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Translational Initiation (GO:0045947),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,EIF2AK2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Interleukin-6-Mediated Signaling Pathway (GO:0070102),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Type 2 Immune Response (GO:0002830),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Mature B Cell Differentiation Involved In Immune Response (GO:0002313),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of ERBB Signaling Pathway (GO:1901184),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,IFI6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of T Cell Chemotaxis (GO:0010819),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,CXCL10,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of T Cell Differentiation (GO:0045581),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,LAG3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Response To Progesterone (GO:0032570),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,ACOD1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Bone Mineralization (GO:0030502),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Endolysosomal Toll-Like Receptor Signaling Pathway (GO:0140894),1/13,0.0288667255850808,0.0764799440555792,0,0,37.770833333333336,133.90008612704145,TLR7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Protein Binding (GO:0043393),2/118,0.0289732303400737,0.0764799440555792,0,0,7.954691259021652,28.17060813267209,IFIT1;IFIT2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),2/119,0.0294269765210407,0.0773644705311233,0,0,7.886304909560724,27.805876562154605,CD40;ITGB8,GO_Biological_Process_2023,lps_receiver
